,LPID,FV,RFV,ID,PATH,ROW
0,1002,17/08/2016,17/08/2016,_001002_,001,002
1,1003,23/03/2013,23/03/2013,_001003_,001,003
2,1004,23/03/2013,23/03/2013,_001004_,001,004
3,1005,23/03/2013,23/03/2013,_001005_,001,005
4,1006,21/05/2013,21/05/2013,_001006_,001,006
5,1007,21/05/2013,21/05/2013,_001007_,001,007
6,1008,21/05/2013,21/05/2013,_001008_,001,008
7,1009,21/05/2013,21/05/2013,_001009_,001,009
8,1010,21/05/2013,21/05/2013,_001010_,001,010
9,1011,19/04/2013,19/04/2013,_001011_,001,011
10,1012,19/04/2013,19/04/2013,_001012_,001,012
11,1013,19/04/2013,19/04/2013,_001013_,001,013
12,1014,19/04/2013,19/04/2013,_001014_,001,014
13,1015,19/04/2013,19/04/2013,_001015_,001,015
14,1016,19/04/2013,19/04/2013,_001016_,001,016
15,1017,19/04/2013,19/04/2013,_001017_,001,017
16,1018,25/08/2013,25/08/2013,_001018_,001,018
17,1021,27/04/2016,27/04/2016,_001021_,001,021
18,1022,27/04/2016,27/04/2016,_001022_,001,022
19,1023,27/04/2016,27/04/2016,_001023_,001,023
20,1024,27/04/2016,27/04/2016,_001024_,001,024
21,1025,27/04/2016,27/04/2016,_001025_,001,025
22,1026,27/04/2016,27/04/2016,_001026_,001,026
23,1027,21/05/2013,21/05/2013,_001027_,001,027
24,1028,22/06/2013,22/06/2013,_001028_,001,028
25,1029,16/03/2018,16/03/2018,_001029_,001,029
26,1030,16/03/2018,16/03/2018,_001030_,001,030
27,1031,16/03/2018,16/03/2018,_001031_,001,031
28,1047,30/07/2015,30/07/2015,_001047_,001,047
29,1048,23/03/2013,19/04/2013,_001048_,001,048
30,1049,23/03/2013,19/04/2013,_001049_,001,049
31,1050,23/03/2013,19/04/2013,_001050_,001,050
32,1051,23/03/2013,19/04/2013,_001051_,001,051
33,1052,23/03/2013,19/04/2013,_001052_,001,052
34,1053,23/03/2013,19/04/2013,_001053_,001,053
35,1054,23/03/2013,19/04/2013,_001054_,001,054
36,1055,23/03/2013,19/04/2013,_001055_,001,055
37,1056,23/03/2013,19/04/2013,_001056_,001,056
38,1057,23/03/2013,19/04/2013,_001057_,001,057
39,1058,23/03/2013,19/04/2013,_001058_,001,058
40,1059,23/03/2013,19/04/2013,_001059_,001,059
41,1060,23/03/2013,19/04/2013,_001060_,001,060
42,1061,23/03/2013,19/04/2013,_001061_,001,061
43,1062,23/03/2013,19/04/2013,_001062_,001,062
44,1063,23/03/2013,19/04/2013,_001063_,001,063
45,1064,23/03/2013,19/04/2013,_001064_,001,064
46,1065,23/03/2013,19/04/2013,_001065_,001,065
47,1066,23/03/2013,19/04/2013,_001066_,001,066
48,1067,23/03/2013,19/04/2013,_001067_,001,067
49,1068,23/03/2013,19/04/2013,_001068_,001,068
50,1069,23/03/2013,19/04/2013,_001069_,001,069
51,1070,23/03/2013,19/04/2013,_001070_,001,070
52,1071,23/03/2013,19/04/2013,_001071_,001,071
53,1072,23/03/2013,19/04/2013,_001072_,001,072
54,1073,23/03/2013,19/04/2013,_001073_,001,073
55,1074,23/03/2013,19/04/2013,_001074_,001,074
56,1075,23/03/2013,19/04/2013,_001075_,001,075
57,1076,19/04/2013,19/04/2013,_001076_,001,076
58,1077,19/04/2013,19/04/2013,_001077_,001,077
59,1078,19/04/2013,19/04/2013,_001078_,001,078
60,1079,19/04/2013,19/04/2013,_001079_,001,079
61,1080,19/04/2013,19/04/2013,_001080_,001,080
62,1081,19/04/2013,19/04/2013,_001081_,001,081
63,1082,19/04/2013,19/04/2013,_001082_,001,082
64,1083,19/04/2013,19/04/2013,_001083_,001,083
65,1084,19/04/2013,19/04/2013,_001084_,001,084
66,1085,19/04/2013,19/04/2013,_001085_,001,085
67,1086,19/04/2013,19/04/2013,_001086_,001,086
68,1087,19/04/2013,19/04/2013,_001087_,001,087
69,1088,19/04/2013,19/04/2013,_001088_,001,088
70,1089,19/04/2013,19/04/2013,_001089_,001,089
71,1090,19/04/2013,19/04/2013,_001090_,001,090
72,1091,19/04/2013,19/04/2013,_001091_,001,091
73,1092,19/04/2013,19/04/2013,_001092_,001,092
74,1093,08/07/2013,08/07/2013,_001093_,001,093
75,1108,13/11/2013,13/11/2013,_001108_,001,108
76,1109,13/11/2013,13/11/2013,_001109_,001,109
77,1110,13/11/2013,13/11/2013,_001110_,001,110
78,1111,19/04/2013,19/04/2013,_001111_,001,111
79,1112,19/04/2013,19/04/2013,_001112_,001,112
80,1113,19/04/2013,19/04/2013,_001113_,001,113
81,1114,19/04/2013,19/04/2013,_001114_,001,114
82,1115,19/04/2013,19/04/2013,_001115_,001,115
83,1116,19/04/2013,19/04/2013,_001116_,001,116
84,1117,19/04/2013,19/04/2013,_001117_,001,117
85,1118,19/04/2013,19/04/2013,_001118_,001,118
86,1119,19/04/2013,19/04/2013,_001119_,001,119
87,1120,19/04/2013,19/04/2013,_001120_,001,120
88,1121,19/04/2013,19/04/2013,_001121_,001,121
89,1122,19/04/2013,19/04/2013,_001122_,001,122
90,1126,15/12/2013,15/12/2013,_001126_,001,126
91,1127,15/12/2013,15/12/2013,_001127_,001,127
92,1185,10/08/2019,10/08/2019,_001185_,001,185
93,1186,10/08/2019,10/08/2019,_001186_,001,186
94,1187,10/08/2019,10/08/2019,_001187_,001,187
95,1188,10/08/2019,10/08/2019,_001188_,001,188
96,1189,10/08/2019,10/08/2019,_001189_,001,189
97,1190,10/08/2019,10/08/2019,_001190_,001,190
98,1191,10/08/2019,10/08/2019,_001191_,001,191
99,1192,02/12/2014,02/12/2014,_001192_,001,192
100,1193,02/12/2014,02/12/2014,_001193_,001,193
101,1194,02/12/2014,02/12/2014,_001194_,001,194
102,1195,10/08/2019,10/08/2019,_001195_,001,195
103,1196,10/08/2019,10/08/2019,_001196_,001,196
104,1230,20/06/2018,20/06/2018,_001230_,001,230
105,1231,11/07/2014,11/07/2014,_001231_,001,231
106,1232,11/07/2014,11/07/2014,_001232_,001,232
107,1233,27/07/2014,27/07/2014,_001233_,001,233
108,1234,19/05/2018,19/05/2018,_001234_,001,234
109,1235,19/05/2018,19/05/2018,_001235_,001,235
110,1236,12/08/2014,12/08/2014,_001236_,001,236
111,1237,03/05/2018,03/05/2018,_001237_,001,237
112,1238,03/05/2018,03/05/2018,_001238_,001,238
113,1241,12/08/2014,12/08/2014,_001241_,001,241
114,1242,12/08/2014,12/08/2014,_001242_,001,242
115,1243,12/08/2014,12/08/2014,_001243_,001,243
116,1244,12/08/2014,12/08/2014,_001244_,001,244
117,1245,12/08/2014,12/08/2014,_001245_,001,245
118,1248,18/03/2013,18/03/2013,_001248_,001,248
119,2001,08/08/2016,08/08/2016,_002001_,002,001
120,2002,08/08/2016,08/08/2016,_002002_,002,002
121,2003,05/04/2013,05/04/2013,_002003_,002,003
122,2004,18/03/2013,26/04/2013,_002004_,002,004
123,2005,18/03/2013,26/04/2013,_002005_,002,005
124,2006,18/03/2013,26/04/2013,_002006_,002,006
125,2007,18/03/2013,26/04/2013,_002007_,002,007
126,2008,18/03/2013,26/04/2013,_002008_,002,008
127,2009,18/03/2013,26/04/2013,_002009_,002,009
128,2010,18/03/2013,28/05/2013,_002010_,002,010
129,2011,05/04/2013,05/04/2013,_002011_,002,011
130,2012,05/04/2013,05/04/2013,_002012_,002,012
131,2013,05/04/2013,05/04/2013,_002013_,002,013
132,2014,05/04/2013,26/04/2013,_002014_,002,014
133,2015,05/04/2013,26/04/2013,_002015_,002,015
134,2016,05/04/2013,26/04/2013,_002016_,002,016
135,2017,05/04/2013,26/04/2013,_002017_,002,017
136,2018,26/04/2013,26/04/2013,_002018_,002,018
137,2019,18/04/2016,18/04/2016,_002019_,002,019
138,2020,18/04/2016,18/04/2016,_002020_,002,020
139,2021,18/04/2016,18/04/2016,_002021_,002,021
140,2022,18/04/2016,18/04/2016,_002022_,002,022
141,2023,18/04/2016,18/04/2016,_002023_,002,023
142,2024,18/04/2016,18/04/2016,_002024_,002,024
143,2025,26/04/2013,26/04/2013,_002025_,002,025
144,2026,26/04/2013,26/04/2013,_002026_,002,026
145,2027,15/07/2013,15/07/2013,_002027_,002,027
146,2028,04/11/2013,04/11/2013,_002028_,002,028
147,2029,23/03/2018,23/03/2018,_002029_,002,029
148,2030,23/03/2018,23/03/2018,_002030_,002,030
149,2031,23/03/2018,23/03/2018,_002031_,002,031
150,2047,26/04/2013,26/04/2013,_002047_,002,047
151,2048,26/04/2013,26/04/2013,_002048_,002,048
152,2049,26/04/2013,26/04/2013,_002049_,002,049
153,2050,21/07/2015,21/07/2015,_002050_,002,050
154,2051,21/07/2015,21/07/2015,_002051_,002,051
155,2052,05/04/2013,26/04/2013,_002052_,002,052
156,2053,05/04/2013,26/04/2013,_002053_,002,053
157,2054,05/04/2013,26/04/2013,_002054_,002,054
158,2055,05/04/2013,26/04/2013,_002055_,002,055
159,2056,05/04/2013,26/04/2013,_002056_,002,056
160,2057,05/04/2013,26/04/2013,_002057_,002,057
161,2058,05/04/2013,26/04/2013,_002058_,002,058
162,2059,05/04/2013,26/04/2013,_002059_,002,059
163,2060,05/04/2013,26/04/2013,_002060_,002,060
164,2061,05/04/2013,26/04/2013,_002061_,002,061
165,2062,05/04/2013,26/04/2013,_002062_,002,062
166,2063,05/04/2013,26/04/2013,_002063_,002,063
167,2064,05/04/2013,26/04/2013,_002064_,002,064
168,2065,05/04/2013,26/04/2013,_002065_,002,065
169,2066,05/04/2013,26/04/2013,_002066_,002,066
170,2067,05/04/2013,26/04/2013,_002067_,002,067
171,2068,05/04/2013,26/04/2013,_002068_,002,068
172,2069,05/04/2013,26/04/2013,_002069_,002,069
173,2070,05/04/2013,26/04/2013,_002070_,002,070
174,2071,05/04/2013,26/04/2013,_002071_,002,071
175,2072,05/04/2013,26/04/2013,_002072_,002,072
176,2073,18/03/2013,26/04/2013,_002073_,002,073
177,2074,18/03/2013,26/04/2013,_002074_,002,074
178,2075,18/03/2013,26/04/2013,_002075_,002,075
179,2076,26/04/2013,26/04/2013,_002076_,002,076
180,2108,06/12/2013,06/12/2013,_002108_,002,108
181,2109,06/12/2013,06/12/2013,_002109_,002,109
182,2110,06/12/2013,06/12/2013,_002110_,002,110
183,2111,04/11/2013,04/11/2013,_002111_,002,111
184,2112,04/11/2013,04/11/2013,_002112_,002,112
185,2113,04/11/2013,04/11/2013,_002113_,002,113
186,2114,04/11/2013,04/11/2013,_002114_,002,114
187,2115,04/11/2013,04/11/2013,_002115_,002,115
188,2116,04/11/2013,04/11/2013,_002116_,002,116
189,2117,04/11/2013,04/11/2013,_002117_,002,117
190,2118,04/11/2013,04/11/2013,_002118_,002,118
191,2119,04/11/2013,04/11/2013,_002119_,002,119
192,2120,04/11/2013,04/11/2013,_002120_,002,120
193,2121,04/11/2013,04/11/2013,_002121_,002,121
194,2122,04/11/2013,04/11/2013,_002122_,002,122
195,2126,20/11/2013,20/11/2013,_002126_,002,126
196,2127,20/11/2013,20/11/2013,_002127_,002,127
197,2185,28/03/2014,28/03/2014,_002185_,002,185
198,2186,17/08/2019,17/08/2019,_002186_,002,186
199,2187,17/08/2019,17/08/2019,_002187_,002,187
200,2188,17/08/2019,17/08/2019,_002188_,002,188
201,2189,17/08/2019,17/08/2019,_002189_,002,189
202,2190,17/08/2019,17/08/2019,_002190_,002,190
203,2230,11/06/2018,11/06/2018,_002230_,002,230
204,2231,11/06/2018,11/06/2018,_002231_,002,231
205,2232,28/05/2013,28/05/2013,_002232_,002,232
206,2233,28/05/2013,28/05/2013,_002233_,002,233
207,2234,28/05/2013,28/05/2013,_002234_,002,234
208,2235,28/05/2013,28/05/2013,_002235_,002,235
209,2236,28/05/2013,28/05/2013,_002236_,002,236
210,2237,28/05/2013,28/05/2013,_002237_,002,237
211,2238,19/08/2014,19/08/2014,_002238_,002,238
212,2241,28/05/2013,28/05/2013,_002241_,002,241
213,2242,28/05/2013,28/05/2013,_002242_,002,242
214,2243,28/05/2013,28/05/2013,_002243_,002,243
215,2244,03/08/2014,03/08/2014,_002244_,002,244
216,2247,05/04/2013,05/04/2013,_002247_,002,247
217,2248,05/04/2013,26/04/2013,_002248_,002,248
218,3001,15/08/2016,15/08/2016,_003001_,003,001
219,3002,03/05/2013,03/05/2013,_003002_,003,002
220,3003,03/05/2013,03/05/2013,_003003_,003,003
221,3004,03/05/2013,03/05/2013,_003004_,003,004
222,3005,03/05/2013,03/05/2013,_003005_,003,005
223,3006,03/05/2013,03/05/2013,_003006_,003,006
224,3007,03/05/2013,03/05/2013,_003007_,003,007
225,3008,03/05/2013,03/05/2013,_003008_,003,008
226,3009,03/05/2013,03/05/2013,_003009_,003,009
227,3010,03/05/2013,03/05/2013,_003010_,003,010
228,3011,03/05/2013,03/05/2013,_003011_,003,011
229,3012,03/05/2013,03/05/2013,_003012_,003,012
230,3013,10/04/2013,03/05/2013,_003013_,003,013
231,3014,10/04/2013,03/05/2013,_003014_,003,014
232,3015,10/04/2013,03/05/2013,_003015_,003,015
233,3016,10/04/2013,03/05/2013,_003016_,003,016
234,3017,10/04/2013,03/05/2013,_003017_,003,017
235,3018,23/08/2013,23/08/2013,_003018_,003,018
236,3019,25/04/2016,25/04/2016,_003019_,003,019
237,3020,25/04/2016,25/04/2016,_003020_,003,020
238,3021,25/04/2016,25/04/2016,_003021_,003,021
239,3022,25/04/2016,25/04/2016,_003022_,003,022
240,3023,25/04/2016,25/04/2016,_003023_,003,023
241,3024,25/04/2016,25/04/2016,_003024_,003,024
242,3025,19/05/2013,19/05/2013,_003025_,003,025
