LPID,ADate,StartTime,StopTime,DayNight,SCC,CenterLatdec,CenterLongdec
_204051_,20/04/2020,2020:111:11:20:58.9923930,2020:111:11:21:30.7623920,DAY,0.02,13.01273,-15.44019
_204052_,20/04/2020,2020:111:11:21:22.9046120,2020:111:11:21:54.6746110,DAY,1.02,11.5675,-15.75646
_199051_,17/04/2020,2020:108:10:50:06.3539030,2020:108:10:50:38.1239020,DAY,19.52,13.01245,-7.71243
_199052_,17/04/2020,2020:108:10:50:30.2618870,2020:108:10:51:02.0318860,DAY,5.96,11.56757,-8.02869
_199053_,17/04/2020,2020:108:10:50:54.1656340,2020:108:10:51:25.9356330,DAY,6.33,10.12262,-8.34264
_199054_,17/04/2020,2020:108:10:51:18.0778530,2020:108:10:51:49.8478520,DAY,15.74,8.67692,-8.65481
_199055_,17/04/2020,2020:108:10:51:41.9858370,2020:108:10:52:13.7558360,DAY,99.98,7.23128,-8.96529
_201051_,15/04/2020,2020:106:11:02:28.8326440,2020:106:11:03:00.6026430,DAY,32.85,13.01259,-10.80075
_201052_,15/04/2020,2020:106:11:02:52.7406270,2020:106:11:03:24.5106260,DAY,38.78,11.56764,-11.11702
_201053_,15/04/2020,2020:106:11:03:16.6443740,2020:106:11:03:48.4143740,DAY,17.93,10.1227,-11.43099
_201054_,15/04/2020,2020:106:11:03:40.5565940,2020:106:11:04:12.3265930,DAY,48.72,8.67699,-11.74314
_201055_,15/04/2020,2020:106:11:04:04.4645770,2020:106:11:04:36.2345760,DAY,75.1,7.23136,-12.05358
_203051_,13/04/2020,2020:104:11:14:51.2902560,2020:104:11:15:23.0602550,DAY,54.3,13.01253,-13.88919
_203052_,13/04/2020,2020:104:11:15:15.1982390,2020:104:11:15:46.9682380,DAY,51.15,11.56765,-14.20545
_203053_,13/04/2020,2020:104:11:15:39.1062220,2020:104:11:16:10.8762210,DAY,56.63,10.12241,-14.51945
_198052_,10/04/2020,2020:101:10:44:22.3780920,2020:101:10:44:54.1480910,DAY,48.61,11.56755,-6.47751
_198053_,10/04/2020,2020:101:10:44:46.2860760,2020:101:10:45:18.0560750,DAY,43.78,10.12232,-6.79154
_198054_,10/04/2020,2020:101:10:45:10.1898230,2020:101:10:45:41.9598220,DAY,11.8,8.67714,-7.1036
_198055_,10/04/2020,2020:101:10:45:34.1020420,2020:101:10:46:05.8720410,DAY,9.71,7.23123,-7.41413
_200051_,08/04/2020,2020:099:10:56:20.8219230,2020:099:10:56:52.5919220,DAY,0,13.01241,-9.2491
_200052_,08/04/2020,2020:099:10:56:44.7256700,2020:099:10:57:16.4956690,DAY,0.02,11.56771,-9.56531
_200053_,08/04/2020,2020:099:10:57:08.6378890,2020:099:10:57:40.4078880,DAY,9.76,10.12221,-9.8794
_200054_,08/04/2020,2020:099:10:57:32.5416360,2020:099:10:58:04.3116360,DAY,56.16,8.677,-10.19148
_200055_,08/04/2020,2020:099:10:57:56.4538560,2020:099:10:58:28.2238550,DAY,62.58,7.23111,-10.50208
_202051_,06/04/2020,2020:097:11:08:43.1186750,2020:097:11:09:14.8886740,DAY,0,13.01259,-12.33655
_202052_,06/04/2020,2020:097:11:09:07.0266580,2020:097:11:09:38.7966570,DAY,0,11.56762,-12.65285
_202053_,06/04/2020,2020:097:11:09:30.9346410,2020:097:11:10:02.7046410,DAY,2.1,10.12241,-12.96695
_202054_,06/04/2020,2020:097:11:09:54.8426250,2020:097:11:10:26.6126240,DAY,36.57,8.67696,-13.27912
_202055_,06/04/2020,2020:097:11:10:18.7548440,2020:097:11:10:50.5248430,DAY,47.94,7.23106,-13.58969
_204051_,04/04/2020,2020:095:11:21:05.3985790,2020:095:11:21:37.1685780,DAY,0,13.01227,-15.42432
_204052_,04/04/2020,2020:095:11:21:29.3023260,2020:095:11:22:01.0723250,DAY,1.02,11.56754,-15.74055
