,PATH,LRFV,LPV
0,1,10/08/2019,24/05/2020
1,2,17/08/2019,31/05/2020
2,3,08/08/2019,22/05/2020
3,4,15/08/2019,29/05/2020
4,5,16/06/2018,20/05/2020
5,6,20/08/2016,27/05/2020
6,7,04/10/2018,18/05/2020
7,8,11/10/2018,25/05/2020
8,9,02/10/2018,01/06/2020
9,10,09/10/2018,23/05/2020
10,11,30/09/2018,30/05/2020
11,12,07/10/2018,21/05/2020
12,13,28/09/2018,28/05/2020
13,14,09/11/2019,19/05/2020
14,15,05/05/2018,26/05/2020
15,16,30/03/2020,17/05/2020
16,17,27/04/2016,24/05/2020
17,18,07/09/2015,31/05/2020
18,19,04/04/2020,22/05/2020
19,20,11/04/2020,29/05/2020
20,21,16/06/2018,20/05/2020
21,22,22/05/2018,27/05/2020
22,23,14/06/2018,18/05/2020
23,24,23/07/2018,25/05/2020
24,25,30/07/2018,01/06/2020
25,26,02/05/2018,23/05/2020
26,27,19/09/2014,30/05/2020
27,28,04/02/2016,21/05/2020
28,29,13/06/2014,28/05/2020
29,30,14/05/2018,19/05/2020
30,31,06/06/2018,26/05/2020
31,32,13/06/2018,17/05/2020
32,33,20/06/2018,24/05/2020
33,34,19/06/2015,31/05/2020
34,35,08/10/2018,22/05/2020
35,36,29/09/2018,29/05/2020
36,37,06/10/2018,20/05/2020
37,38,30/09/2019,27/05/2020
38,39,04/10/2018,18/05/2020
39,40,23/04/2020,25/05/2020
40,41,02/10/2018,01/06/2020
41,42,09/10/2018,23/05/2020
42,43,30/09/2018,30/05/2020
43,44,18/03/2020,21/05/2020
44,45,28/09/2018,28/05/2020
45,46,15/06/2018,19/05/2020
46,47,27/07/2019,26/05/2020
47,48,03/08/2019,17/05/2020
48,49,22/04/2020,24/05/2020
49,50,13/04/2020,31/05/2020
50,51,20/04/2020,22/05/2020
51,52,11/04/2020,29/05/2020
52,53,18/04/2020,20/05/2020
53,54,10/06/2019,27/05/2020
54,55,16/04/2020,18/05/2020
