LPID,PATH,ROW,ACQDayL7,ACQDayL8,CenterLat,CenterLong,Africa,America,Antartica,Asia,Europe,Oceania,Ocean
_013001_,13,1,1,9,80.76026667,-15.39340494,0,1,0,0,0,0,0
_013002_,13,2,1,9,80.00558607,-22.86543245,0,1,0,0,0,0,0
_013003_,13,3,1,9,79.11366801,-29.22356065,0,1,0,0,0,0,0
_013004_,13,4,1,9,78.11513723,-34.5929568,0,1,0,0,0,0,0
_013005_,13,5,1,9,77.03430642,-39.12687451,0,1,0,0,0,0,0
_013006_,13,6,1,9,75.88984432,-42.97184515,0,1,0,0,0,0,0
_013007_,13,7,1,9,74.69581438,-46.25519224,0,1,0,0,0,0,0
_013008_,13,8,1,9,73.46286239,-49.08160498,0,1,0,0,0,0,0
_013009_,13,9,1,9,72.19888348,-51.53569902,0,1,0,0,0,0,0
_013010_,13,10,1,9,70.91003752,-53.68466716,0,1,0,0,0,0,0
_013011_,13,11,1,9,69.60085453,-55.58193075,0,1,0,0,0,0,0
_013012_,13,12,1,9,68.27508307,-57.27012162,0,0,0,0,0,0,1
_013013_,13,13,1,9,66.93544658,-58.78334345,0,1,0,0,0,0,0
_013014_,13,14,1,9,65.58411411,-60.14902542,0,1,0,0,0,0,0
_013015_,13,15,1,9,64.22286203,-61.38941528,0,0,0,0,0,0,1
_013016_,13,16,1,9,62.85317614,-62.52274292,0,1,0,0,0,0,0
_013017_,13,17,1,9,61.4762036,-63.56398823,0,1,0,0,0,0,0
_013018_,13,18,1,9,60.09284738,-64.52549422,0,1,0,0,0,0,0
_013019_,13,19,1,9,58.70391068,-65.41759306,0,1,0,0,0,0,0
_013020_,13,20,1,9,57.30998057,-66.24902798,0,1,0,0,0,0,0
_013021_,13,21,1,9,55.91167043,-67.02713252,0,1,0,0,0,0,0
_013022_,13,22,1,9,54.50947999,-67.75810017,0,1,0,0,0,0,0
_013023_,13,23,1,9,53.10367213,-68.44729765,0,1,0,0,0,0,0
_013024_,13,24,1,9,51.69475744,-69.09928434,0,1,0,0,0,0,0
_013025_,13,25,1,9,50.28286895,-69.71805804,0,1,0,0,0,0,0
